样本编号,年级,专业类别,月可支配生活费,半年短途出行次数,目的地类型,同行人,单次出行预算,预算占比最大项,提前规划时间,信息获取渠道,遇到的困扰(多选),最严重的困扰,是否用过行程规划工具,对工具不满意的地方,最希望的功能(多选),最愿意付费的功能,倾向的使用形式,偏好的内容风格,其他未满足需求,是否愿意参与访谈(留微信),答题时长(秒),提交时间
S001,大三,经管类,1000-1500元,1-2次,城市人文、周边乡村/古镇、主题乐园,朋友小团体(4人以上),200元以下,交通,提前1-2天,小红书、OTA平台(携程/马蜂窝),攻略质量参差不齐，广告多、没有现成行程模板、住宿选择困难、攻略信息太分散，多APP切换,没有现成行程模板,听说过但没用过,,按预算推荐目的地和行程、住宿区域推荐,都不愿意付费,微信小程序,真实接地气(学长学姐经验),行李寄存的点能不能标注出来,,266,2026-09-08 17:07:59
S002,大二,文史哲类,2501-3000元,3-4次,美食探店,独自一人,401-600元,交通,说走就走,微博,攻略质量参差不齐，广告多、交通接驳信息不清晰、缺少学生视角的预算参考,攻略质量参差不齐，广告多,完全没听说过,,当地美食红黑榜、按预算推荐目的地和行程,都不愿意付费,微信小程序,简洁高效(直接给结论),希望能和同校的人组队出行,,295,2026-09-01 12:52:02
S003,大四,理工类,1000元以下,7次及以上,网红打卡点、自然风景、美食探店,室友/同学(2-3人),601-800元,住宿,提前1-2天,朋友推荐,小众目的地信息太少、缺少学生视角的预算参考、没有现成行程模板,其他,经常使用,操作太复杂,按预算推荐目的地和行程,都不愿意付费,独立APP,简洁高效(直接给结论),当地菜市场能不能推荐，想吃地道的,,221,2026-09-01 19:46:07
S004,大三,文史哲类,1000-1500元,3-4次,自然风景,室友/同学(2-3人),200元以下,餐饮,提前3-7天,朋友推荐、大众点评、小红书,住宿选择困难、没有现成行程模板、攻略质量参差不齐，广告多、缺少学生视角的预算参考,攻略质量参差不齐，广告多,完全没听说过,,交通接驳指南、小众目的地种草,独家小众目的地攻略,微信小程序,专业严谨数据详实,景区学生票需要带什么证件能不能说明,,141,2026-09-10 10:05:46
S005,大三,经管类,2001-2500元,5-6次,美食探店,家人,201-400元,餐饮,提前3-7天,B站,小众目的地信息太少、缺少学生视角的预算参考、交通接驳信息不清晰,缺少学生视角的预算参考,完全没听说过,,按预算推荐目的地和行程、现成学生党行程模板、交通接驳指南,独家小众目的地攻略,微信小程序,图文精美,希望能和同校的人组队出行,愿意-wx_blskrt05,227,2026-09-08 12:50:30
S006,大四,经管类,1000-1500元,3-4次,自然风景、网红打卡点,独自一人,401-600元,餐饮,说走就走,抖音、微博、小红书,没有现成行程模板、攻略质量参差不齐，广告多,缺少学生视角的预算参考,完全没听说过,,小众目的地种草、行程共享与协同编辑,都不愿意付费,微信小程序,专业严谨数据详实,,,317,2026-09-04 11:26:31
S007,大三,旅游/酒店管理类,2501-3000元,3-4次,其他,室友/同学(2-3人),801-1000元,住宿,提前3-7天,其他、大众点评、OTA平台(携程/马蜂窝),攻略质量参差不齐，广告多、攻略信息太分散，多APP切换,交通接驳信息不清晰,经常使用,操作太复杂、不能按预算调整,按预算推荐目的地和行程、小众目的地种草、行程共享与协同编辑,无广告纯净体验,微信小程序,有趣好玩有梗,能不能有毕业旅行的专题,愿意-wx_6ivwpvs7,132,2026-09-06 12:16:25
S008,大一,艺术类,1501-2000元,7次及以上,城市人文,朋友小团体(4人以上),601-800元,交通,提前3-7天,小红书、知乎、B站,缺少学生视角的预算参考、攻略信息太分散，多APP切换、住宿选择困难,交通接驳信息不清晰,听说过但没用过,,当地美食红黑榜、交通接驳指南,都不愿意付费,微信小程序,有趣好玩有梗,行李寄存的点能不能标注出来,愿意-wx_dtjvzhwj,205,2026-09-05 22:03:05
S009,大三,教育类,1000元以下,1-2次,美食探店,室友/同学(2-3人),401-600元,餐饮,提前3-7天,小红书,没有现成行程模板、住宿选择困难,攻略质量参差不齐，广告多,偶尔使用,行程模板太少、推荐太商业化,实时避坑提醒、按预算推荐目的地和行程,独家小众目的地攻略,微信小程序,有趣好玩有梗,音乐节+旅行的组合攻略想要,,271,2026-09-03 12:55:10
S010,研二及以上,教育类,2501-3000元,1-2次,高校校园参观、周边乡村/古镇、自然风景,男/女朋友,801-1000元,交通,提前1-2天,小红书、B站、微博,攻略质量参差不齐，广告多、美食探店容易踩雷、缺少学生视角的预算参考,小众目的地信息太少,完全没听说过,,按预算推荐目的地和行程、现成学生党行程模板,都不愿意付费,都可以,真实接地气(学长学姐经验),拍照机位能不能标注出来,,295,2026-09-09 14:01:07
S011,研一,理工类,1501-2000元,7次及以上,城市人文,室友/同学(2-3人),601-800元,住宿,提前1-2周,小红书、B站,小众目的地信息太少、攻略信息太分散，多APP切换,美食探店容易踩雷,偶尔使用,推荐太商业化、不能协同编辑、操作太复杂,按预算推荐目的地和行程、当地美食红黑榜、现成学生党行程模板、行程共享与协同编辑,都不愿意付费,微信小程序,真实接地气(学长学姐经验),音乐节+旅行的组合攻略想要,,258,2026-09-05 17:08:12
S012,大二,旅游/酒店管理类,2001-2500元,7次及以上,美食探店、自然风景、网红打卡点,室友/同学(2-3人),401-600元,门票/体验项目,提前3-7天,抖音,没有现成行程模板、小众目的地信息太少、一人出行难拼车/找搭子,交通接驳信息不清晰,听说过但没用过,,小众目的地种草、当地美食红黑榜、出行搭子匹配,都不愿意付费,小红书/抖音账号+社群,真实接地气(学长学姐经验),,愿意-wx_b9w1q5uz,178,2026-09-08 15:15:09
S013,大三,经管类,2001-2500元,5-6次,周边乡村/古镇,室友/同学(2-3人),801-1000元,餐饮,提前3-7天,小红书、微博、抖音,交通接驳信息不清晰、一人出行难拼车/找搭子、美食探店容易踩雷,没有现成行程模板,听说过但没用过,,行程共享与协同编辑、交通接驳指南、实时避坑提醒、住宿区域推荐、小众目的地种草,AI高级行程定制,微信小程序,图文精美,希望能有夜生活安全的提示,,150,2026-09-08 10:45:18
S014,大二,理工类,2501-3000元,1-2次,城市人文,朋友小团体(4人以上),801-1000元,交通,提前3-7天,抖音、小红书、微博,美食探店容易踩雷、交通接驳信息不清晰、小众目的地信息太少、住宿选择困难,缺少学生视角的预算参考,经常使用,行程模板太少,交通接驳指南、住宿区域推荐、出行搭子匹配、实时避坑提醒、小众目的地种草,独家小众目的地攻略,独立APP,简洁高效(直接给结论),能不能有毕业旅行的专题,,295,2026-09-08 11:39:34
S015,大一,理工类,1501-2000元,0次,,,,,,,攻略信息太分散，多APP切换、没有现成行程模板、缺少学生视角的预算参考、攻略质量参差不齐，广告多,攻略质量参差不齐，广告多,完全没听说过,,现成学生党行程模板、实时避坑提醒、小众目的地种草、行程共享与协同编辑,都不愿意付费,微信小程序,专业严谨数据详实,希望能和同校的人组队出行,,279,2026-09-01 21:01:15
S016,大二,经管类,1000-1500元,1-2次,城市人文、高校校园参观、主题乐园,室友/同学(2-3人),201-400元,餐饮,提前2周以上,小红书、朋友推荐、知乎,没有现成行程模板、美食探店容易踩雷,没有现成行程模板,完全没听说过,,现成学生党行程模板、当地美食红黑榜、按预算推荐目的地和行程、交通接驳指南,独家小众目的地攻略,小红书/抖音账号+社群,有趣好玩有梗,一个人旅行的安全问题能不能有提示,,224,2026-09-01 14:34:27
S017,大三,经管类,2001-2500元,0次,,,,,,,住宿选择困难、攻略信息太分散，多APP切换、一人出行难拼车/找搭子、交通接驳信息不清晰,交通接驳信息不清晰,听说过但没用过,,当地美食红黑榜、实时避坑提醒、出行搭子匹配、小众目的地种草,都不愿意付费,独立APP,真实接地气(学长学姐经验),,,102,2026-09-05 16:15:48
S018,大三,艺术类,1501-2000元,0次,,,,,,,攻略质量参差不齐，广告多、住宿选择困难、缺少学生视角的预算参考,住宿选择困难,完全没听说过,,交通接驳指南、现成学生党行程模板,都不愿意付费,独立APP,真实接地气(学长学姐经验),,,205,2026-09-08 21:01:05
S019,大二,理工类,1000-1500元,3-4次,主题乐园,室友/同学(2-3人),401-600元,住宿,提前3-7天,抖音、小红书,缺少学生视角的预算参考、小众目的地信息太少、一人出行难拼车/找搭子,没有现成行程模板,偶尔使用,不能按预算调整、不能协同编辑、其他,旅行记账与AA分摊、出行搭子匹配、现成学生党行程模板,AI高级行程定制,小红书/抖音账号+社群,真实接地气(学长学姐经验),,,221,2026-09-05 20:08:40
S020,研一,文史哲类,2501-3000元,3-4次,主题乐园、自然风景,家人,401-600元,门票/体验项目,提前1-2天,抖音,没有现成行程模板、交通接驳信息不清晰,攻略信息太分散，多APP切换,完全没听说过,,按预算推荐目的地和行程、现成学生党行程模板、交通接驳指南、小众目的地种草,都不愿意付费,小红书/抖音账号+社群,图文精美,,,193,2026-09-05 22:37:27
